Good morning.,Bom dia.
Good afternoon.,Boa tarde.
Good evening.,Noite boa.
"Hello, my name is John.","Hello, meu nome é John."
What is your name?,Que é seu nome?
How are you?,Como é você?
I am fine.,Eu sou muito bem.
Nice to meet you.,Nice para encontrar-se com o.
Goodbye.,Adeus.
See you later.,Vê-lo mais tarde.
Where is the restroom?,Onde está o banheiro?
Where is the hotel?,Onde está o hotel?
Where is the restaurant?,Onde está o restaurante?
Where is the airport?,Onde está o aeroporto?
Where is the American embassy?,Onde está o embassy americano?
Excuse me.,Desculpar-me.
Please.,Por favor.
Thank you.,Obrigado.
I'm sorry.,Eu sou pesaroso.
Bless you.,Bless o.
You are welcome.,Você é bem-vindo.
How much does it cost?,Quanto custa?
How many are there?,Quanto há?
There are many.,Há muitos.
Will you buy this?,Você comprará este?
What time is it?,Que hora é ele?
How do you say maybe in French?,Como você diz talvez em francês?
Yes.,Sim.
No.,Não.
I do not understand.,Eu não compreendo.
"Would you speak slower, please.","Você falaria mais lento, por favor."
Who?,Quem?
Why?,Por que?
