Good morning.,Buona mattina.
Good afternoon.,Buon pomeriggio.
Good evening. ,Buona sera.
"Hello, my name is John.","Ciao, il mio nome è John."
What is your name?,Come ti chiami?
How are you?,Come stai?
I am fine.,Sto benissimo.
Nice to meet you.,Piacere.
Goodbye.,Arrivederci.
See you later.,A presto.
Where is the restroom?,Dov' è il bagno?
Where is the hotel?,Dov' è l'hotel?
Where is the restaurant?,Dov' è il ristorante?
Where is the airport?,Dov' è l'aeroporto?
Where is the American embassy?,Dov' è l'ambasciata americana?
Excuse me.,Mi scusi.
Please.,Per favore.
Thank you.,Grazie.
I'm sorry.,Sono spiacente.
You are welcome (it was nothing).,Di niente.
How much does it cost?,Quanto costa?
There are many.,Ce ne sono molti.
Will you buy this?,Comprate questo?
What time is it?,Che ora e`?
How do you say maybe in French?,Come  si dice forse in francese?
Yes.,Sì.
No.,No.
I do not understand.,Non capisco.
"Would you speak slower, please.",Puo` parlare lentamente per piacere?
Who?,Chi?
Why?,Perchè?
