Dort ist der Kaffee.,There is the coffee.
Der Tee ist warm.,The tea is warm.
Der Kaffee ist kalt.,The coffee is cold.
Der Vater trinkt Kaffee.,The father drinks coffee.
Die Mutter trinkt Tee.,The mother drinks tea.
Der Monat Juni ist warm.,The month of June is warm.
Der Winter ist kalt in Kanada.,The winter is cold in Canada.
Der Sommer ist warm hier.,The summer is warm here.
Ist der Kaffee kalt?,Is the coffee cold?
Ist der Tee warm?,Is the tea warm?
Ist das Bier kalt?,Is the beer cold?
Ist die Suppe warm?,Is the soup warm?
Wer trinkt Tee?,Who drinks tea?
Wer trinkt Kaffee?,Who drinks coffee?
Karl ist vier Jahre alt.,Karl is four years old.
Marie ist sieben Jahre alt.,Marie is seven years old.
Wie alt ist Hans?,How old is Hans?
Wie alt ist der Vater?,How old is the father?
Wie alt ist die Mutter?,How old is the mother?
Wie alt ist das Kind?,How old is the child?
Vater heißt Robert Clark.,The father is called Robert Clark.
Die Mutter heißt Helene Clark.,The mother is called Helene Clark.
Das erste Kind heißt Karl.,The first child is called Karl.
Das zweite Kind heißt Wilhelm.,The second child is called Wilhelm.
Das dritte Kind heißt Marie.,The third child is called Marie.
Das vierte Kind heißt Anna.,The fourth child is called Anna.
Dies ist die Familie Clark.,This is the Clark family.
Herr Clark ist hungrig.,Mr. Clark is hungry.
Er geht in die Küche.,He goes into the kitchen.
Kein Brot ist da.,There is no bread.
Keine Butter ist da.,There is no butter.
Kein Kaffee ist da.,There is no coffee.
Ist Frau Clark nicht da?,Is Mrs. Clark not here?
Hier ist ein Laib Brot.,Here is a loaf of bread.
Hier ist ein Stück Butter.,Here is a piece of butter.
Hier ist eine Tasse Kaffee.,Here is a cup of coffee.
Nun ist Herr Clark nicht mehr hungrig.,Now Mr. Clark is not hungry any more.
Der Bruder lernt Deutsch.,The brother learns German.
Wir lernen Englisch.,We learn English.
Sie kauft ein Buch.,She buys a book.
Der Stuhl steht dort.,The chair stands there.
Ich spiele nicht Tennis.,I do not play tennis.
